diffusion_coeff,seed,T_warmup,T_stat,B,P_min,P_max,KL_R_M_corr,KL_S_M_corr,KL_Mk_M_corr,KL_R_M_naive,KL_S_M_naive,KL_Mk_M_naive,delta_sigma_R_corr,delta_sigma_Mk_corr,delta_sigma_R_naive,delta_sigma_Mk_naive,Delta_kappa_corr,Delta_kappa_naive,K_R_nonempty,K_S_nonempty,K_M_nonempty,K_Mk_nonempty,laplace_bins_R,laplace_bins_S,laplace_bins_Mk,clip_events_R,clip_events_S,clip_events_M,clip_events_Mk
0.005000000000,4010,5000,50000,64,0.000000000000,1.000000000000,0.164867167754,0.619929084325,0.749533360534,0.164864355254,0.619929084337,0.749533360553,-0.455061916572,0.129604276209,-0.455064729083,0.129604276216,0.584666192781,0.584669005299,39,61,57,63,0,4,6,0,0,0,0
0.005000000000,4011,5000,50000,64,0.000000000000,1.000000000000,0.146393109864,0.592317169648,0.745899707075,0.146390297364,0.592317169675,0.745899707108,-0.445924059785,0.153582537427,-0.445926872311,0.153582537433,0.599506597211,0.599509409744,34,61,52,63,0,9,11,0,0,0,0
0.005000000000,4012,5000,50000,64,0.000000000000,1.000000000000,0.079466107529,0.124679517874,0.610197536756,0.079464232529,0.124679517879,0.610197536765,-0.045213410345,0.485518018882,-0.045215285351,0.485518018886,0.530731429227,0.530733304236,47,61,59,62,0,2,3,0,0,0,0
0.005000000000,4013,5000,50000,64,0.000000000000,1.000000000000,0.178023401814,0.298144515947,0.696933279449,0.178020589314,0.298144515968,0.696933279473,-0.120121114133,0.398788763502,-0.120123926654,0.398788763505,0.518909877635,0.518912690159,37,62,55,63,0,7,8,0,0,0,0
0.005000000000,4014,5000,50000,64,0.000000000000,1.000000000000,0.125532153000,0.712235326605,0.802047712616,0.125529496750,0.712235326635,0.802047712653,-0.586703173605,0.089812386011,-0.586705829885,0.089812386018,0.676515559617,0.676518215903,35,62,52,64,0,10,12,0,0,0,0
0.005000000000,4015,5000,50000,64,0.000000000000,1.000000000000,0.087624263534,0.220323402071,0.796709995873,0.087622388534,0.220323245821,0.796709995876,-0.132699138537,0.576386593801,-0.132700857287,0.576386750054,0.709085732339,0.709087607342,48,59,60,61,0,0,1,0,0,0,0
0.005000000000,4016,5000,50000,64,0.000000000000,1.000000000000,0.143840949245,0.627273047266,0.823471901071,0.143838605495,0.627273047305,0.823471901114,-0.483432098021,0.196198853805,-0.483434441809,0.196198853809,0.679630951826,0.679633295618,34,62,49,63,0,13,14,0,0,0,0
0.005000000000,4017,5000,50000,64,0.000000000000,1.000000000000,0.148836884146,0.645915581285,1.073014538171,0.148834540396,0.645915581309,1.073014538201,-0.497078697139,0.427098956886,-0.497081040913,0.427098956893,0.924177654025,0.924179997806,39,62,54,64,0,8,10,0,0,0,0
0.005000000000,4018,5000,50000,64,0.000000000000,1.000000000000,0.099642524520,0.241718657240,0.612768547832,0.099640337020,0.241718657252,0.612768547850,-0.142076132720,0.371049890592,-0.142078320232,0.371049890599,0.513126023312,0.513128210831,43,61,57,63,0,4,6,0,0,0,0
0.005000000000,4019,5000,50000,64,0.000000000000,1.000000000000,0.079870152659,0.166509036119,0.551178579963,0.079867965159,0.166509036146,0.551178579994,-0.086638883460,0.384669543844,-0.086641070987,0.384669543848,0.471308427304,0.471310614835,40,63,54,64,0,9,10,0,0,0,0
